Player,Bid,ProjectedPoints,Difference,Owner
Miami (FL),5,35,35,Ross
Auburn,1,32,32,Tilo
Louisville,1,30,30,Jared
NC State,1,29,29,Tilo
Washington State,1,28,28,Tilo
Tennessee,2,27,27,Jared
Mississippi State,3,26,26,Ross
Arkansas,1,24,24,Netten
Texas Tech,3,23,23,AJ
South Dakota State,1,22,22,Tilo
UCF,1,21,21,Tilo
Wisconsin,1,21,21,Ross
Pitt,1,21,21,Netten
Iowa State,1,21,21,Tilo
Tulane,1,19,19,Netten
Ole Miss,1,16,16,Tilo
Purdue,2,10,10,Jawad
Nebraska,1,5,5,Netten
Michigan State,1,5,5,Tilo
Stanford,1,5,5,Netten
