School,Points
,35
Wake Forest,25
Troy,23
Boston College,20
Houston Christian,20
Rice,20
Virginia,16
UAB,16
Northern Iowa,16
Yale,10
UTEP,8
Temple,7
Colorado State,7
Marshall,7
California,6
