School,Points
Tulane,35
SMU,22
Pittsburgh,22
Virginia,20
William & Mary,20
Wisconsin,20
Alabama A&M,17
Sacramento State,17
UTSA,17
Western Michigan,16
Michigan State,16
Navy,16
North Carolina State,15
Nevada,15
Washington,15
Central Michigan,15
Washington State,10
Western Kentucky,10
Arizona State,8
Central Arkansas,8
Utah State,8
Georgia Tech,7
UConn,6
Montana State,6
