School,LeagifyPoints,Bid,ProjectedPoints,Difference,Owner
Alabama,257,71,191,66,Ross
Georgia,212,70,188,24,Ross
Ohio State,134,80,152,-18,Netten
Florida,126,55,106,20,Jared
Tennessee,125,40,89,36,Tilo
Penn State,123,37,68,55,Jawad
Iowa,120,45,80,40,Tilo
LSU,115,39,75,40,Tilo
Michigan,115,56,75,40,Jawad
Clemson,111,58,96,15,Jared
Oregon,103,30,60,43,Netten
Maryland,102,33,66,36,AJ
TCU,98,45,87,11,Netten
Texas,94,27,62,32,AJ
Pittsburgh,93,25,62,31,Netten
Illinois,92,25,62,30,Tilo
Oklahoma,92,32,62,30,Jawad
Auburn,81,20,48,33,AJ
Kansas State,77,14,43,34,Jawad
USC,75,45,72,3,Jared
Northwestern,72,21,61,11,AJ
Iowa State,71,11,37,34,Ross
UCLA,67,11,41,26,AJ
Notre Dame,66,32,67,-1,Tilo
Purdue,63,9,23,40,Ross
Ole Miss,59,9,30,29,Jawad
Houston,57,2,20,37,Ross
North Carolina,57,7,28,29,Tilo
Stanford,54,10,33,21,Jawad
Wisconsin,53,11,35,18,Jared
Utah,51,24,58,-7,AJ
Syracuse,50,10,36,14,Jawad
Michigan State,47,4,14,33,Ross
Miami (FL),47,12,27,20,AJ
Oregon State,45,7,34,11,Ross
Cincinnati,45,14,32,13,AJ
South Carolina,42,10,46,-4,Jawad
Kentucky,41,24,48,-7,AJ
Minnesota,39,7,34,5,Jared
Mississippi State,38,12,29,9,Netten
Wake Forest,36,1,18,18,Ross
Texas Tech,35,13,37,-2,Ross
Louisville,33,14,36,-3,AJ
Texas A&M,32,12,42,-10,Jared
BYU,32,8,25,7,Tilo
Boise State,32,1,17,15,Jared
Nebraska,32,1,13,19,Netten
Arkansas,30,12,39,-9,Jawad
Tulane,30,2,18,12,Tilo
Boston College,25,3,27,-2,Netten
North Dakota State,25,8,27,-2,Jawad
Georgia Tech,20,4,22,-2,Ross
Fresno State,18,1,14,4,Jared
Virginia,17,1,13,4,Netten
South Dakota State,10,1,15,-5,Netten
Washington State,10,1,15,-5,Tilo
Baylor,10,8,27,-17,Jared
West Virginia,6,1,13,-7,Tilo
