Player,Bid,ProjectedPoints,Difference,Owner
Texas A&M,12,42,42,Jared
Arkansas,12,39,39,Jawad
Louisville,14,36,36,AJ
Stanford,10,33,33,Jawad
Cincinnati,14,32,32,AJ
North Carolina,7,28,28,Tilo
Baylor,8,27,27,Jared
BYU,8,25,25,Tilo
Purdue,9,23,23,Ross
Houston,2,20,20,Ross
Tulane,2,18,18,Tilo
Wake Forest,1,18,18,Ross
Boise State,1,17,17,Jared
Washington State,1,15,15,Tilo
South Dakota State,1,15,15,Netten
Fresno State,1,14,14,Jared
West Virginia,1,13,13,Tilo
Virginia,1,13,13,Netten
Nebraska,1,13,13,Netten
Washington,2,12,12,Jared
Vanderbilt,1,3,3,Netten
