School,LeagifyPoints,Bid,ProjectedPoints,Difference,Owner
Georgia,295,86,247,48,AJ
Alabama,193,73,154,39,Tilo
LSU,165,26,80,85,AJ
Ohio State,157,53,110,47,Ross
Penn State,152,38,99,53,Jared
Cincinnati,146,70,112,34,Jared
Oklahoma,106,36,73,33,Tilo
Michigan,103,52,112,-9,Tilo
Baylor,96,27,57,39,Jawad
Washington,90,28,63,27,AJ
Kentucky,87,25,57,30,Jawad
Texas A&M,76,47,90,-14,Jared
UCLA,75,10,42,33,AJ
Iowa State,71,23,45,26,Jared
Mississippi State,65,20,51,14,Ross
Minnesota,65,25,56,9,Jawad
Florida,63,20,46,17,Ross
North Carolina,61,17,37,24,Ross
Ole Miss,58,21,54,4,Jawad
Tennessee,58,1,28,30,Jared
USC,56,25,58,-2,Jawad
Iowa,53,23,43,10,Tilo
Arkansas,52,21,44,8,Jawad
Michigan State,52,4,31,21,AJ
North Carolina State,50,10,44,6,AJ
San Diego State,50,1,30,20,Jared
Arizona State,50,5,35,15,AJ
Houston,48,8,38,10,AJ
Notre Dame,47,27,58,-11,Jawad
Clemson,45,26,52,-7,Jawad
Central Michigan,45,1,29,16,Jawad
Wisconsin,44,5,37,7,Ross
Illinois,42,3,21,21,Jared
Northern Iowa,40,20,35,5,Ross
Nebraska,40,4,33,7,AJ
Pittsburgh,38,19,43,-5,Ross
Oregon,35,25,54,-19,Ross
Florida State,35,3,37,-2,Tilo
Utah,35,9,38,-3,Jared
Purdue,35,15,43,-8,Ross
Texas Tech,33,6,14,19,Ross
South Carolina,33,1,28,5,Jared
Boston College,30,3,38,-8,Jared
Auburn,30,3,31,-1,Tilo
Western Michigan,25,3,28,-3,Tilo
Washington State,25,3,22,3,Tilo
Oklahoma State,16,1,14,2,AJ
Rutgers,10,2,15,-5,Jawad
